"urlid","url","pagetxt","result"
"00155991f62efb82f826259f8acafd3f","http://yruxxphjij.weloveart.cn/gsgovrz/Pay.html","一步:1,不可:1,个人身份:1,中华人民共和国:1,中国银行:1,中心:1,之后:1,人力资源:1,使用:1,信息:3,储蓄卡:1,全国:1,关于:3,农业:1,办理:2,加密:1,务必:1,医保:8,医疗:1,升级:3,协议:1,卡号:2,印发:1,即刻:1,即可:1,及时:1,合作:1,同意:1,填写:1,声明:1,处理:1,安全:1,完成:1,审批:1,局在:1,工商银行:1,开展:1,异常:1,当地:1,当日:1,总局:1,收到:3,政策措施:2,日内:1,更改:1,服务:1,条款:1,标准规定:1,核实:1,根据:2,此次:1,版本:3,特此通知:1,状态:1,现已:1,用于:1,用户:2,电子:3,登记:3,相关:1,短信:1,管理:1,绑定:2,规定:1,认证:4,请输入:1,身份:1,过多:1,进行:1,通知:4,通过:1,避免出现:1,部下:1,鉴于:1,银行卡:1,阅读:1,限于:1,验证:1","1"
"002d2c3bf4fd5243883829196f02daca","http://bwdecv.eqjhxyswlabw.xabbzyyvqst.dtgypbuptrmdqp.enoschofjic.tnmdva.yzunjdlgwk.jzmkwvueglhovw.ummu.bssdaidu.prddrbwwx.xyz/gsgovrz/ertzc.html","一步:1,不便:2,为了:1,出行:1,卡已:1,即时:1,失效:2,官方:1,导致:1,带来:2,提示:1,收到:1,敬请:2,新能源:1,是否:1,更新:1,正常:1,用户:1,由此:1,确定:1,系统升级:3,绑定:4,认证中心:1,说明:1,谅解:2,车牌号:1,输入:1,通知:1,通行:1,部分:1,重新:2,银行卡:2","1"
"0034a1876ef9e4ca7319b7c4c82b4947","http://n1mj7lyw.dwehz4.buzz/17430489_Y8H1.html","个人资料:1,产品:1,以下:1,保障:1,信息安全:1,信赖:1,借贷:1,分钟:1,口碑:1,合作:1,安全:1,完成:1,实名:1,客服:1,提现:1,操作:1,放款:1,日息:1,最快:1,最高:1,权威机构:1,申请:3,立即:1,绑定:1,获得:1,认证:1,评估:1,钱包:1,银行卡:1,额度:2,高利率:1","1"
"0038bf8676ab689552bcfe2900fe76fe","http://pf7xsd.melcfke.cn/shouye.asp","一步:1,不便:1,即时:1,失效:1,官方:1,导致:1,带来:1,收到:1,敬请:1,新能源:1,是否:1,更新:1,用户:1,系统升级:2,绑定:3,认证中心:1,说明:1,谅解:1,车牌号:1,输入:1,通知:1,部分:1,重新:1,银行卡:2","1"
"007e1fd5aad7c853ff5e7a4007027ed2","http://48p33kq9.fcxg.ink/index.php?get=index","下发:1,不便:1,个人资料:1,个人身份:1,中华人民共和国:1,中国邮政:1,中国银行:1,人力资源:1,以及:1,保障局:2,信息:1,停止使用:1,储蓄卡:1,全国:2,公网:1,关于:3,农业:1,办理:4,加载:1,务必:1,医保卡:3,医疗:2,升级:4,卡号:1,印发:1,即刻:1,即可:1,及时:3,合作:1,国家:1,填写:3,声明:1,姓名:4,安全:1,安备:1,完成:2,审批:1,审核:2,工作日内:1,工商银行:1,带来:1,广大:1,开展:1,异常:2,当地:1,当日:1,总局:1,按照:1,提交:1,提供:1,收到:4,政策措施:2,敬请:1,日内:1,旧版:1,查询:4,标准规定:1,核实:3,根据:3,检测:1,此次:1,步骤:1,流程:1,温馨提示:1,版本:3,特此通知:1,状态:2,环境:1,现已:1,用户:4,由于:1,电子信息:1,登记:3,相关:1,真实性:1,短信:1,确认:1,社会保障部:1,社保局:1,立即:1,等待:2,管理:1,系统:1,绑定:1,网络:1,表格:1,规定:1,认证:5,证件号码:1,请输入:3,谅解:1,资料:3,身份证:3,过多:1,进行:2,通知:5,避免出现:1,鉴于:1,银行:1,限于:1,领取:1","1"
"00b4a840ec6976603220eefc8827da9d","http://6vj5bcss.eet123.site/shouye.asp","一步:1,不便:1,即时:1,失效:1,官方:1,导致:1,带来:1,收到:1,敬请:1,新能源:1,是否:1,更新:1,用户:1,系统升级:2,绑定:3,认证中心:1,说明:1,谅解:1,车牌号:1,输入:1,通知:1,部分:1,重新:1,银行卡:2","1"
"00c859d2439ff6d80feabdcbc1598dd8","http://kefu.tiptopme.cn/platform/passport/login.html","不能:1,为空:1,刷新:2,发送到:1,图片:2,大白:2,客服:3,密码:6,忘记:2,手机号:2,收到:1,新密码:2,点击:2,用户名:1,登录:2,短信:3,确认:1,管理员:1,系统:2,绑定:1,网络:1,联系:1,请输入:2,账户:2,选择:1,通过:1,重置:3,错误:1,验证码:8","1"
"00ed6582f912d795643538e003b1d937","http://hlbbutgh3dz.r1vv-db1.11k.ssy5kuwktj5ngkieeqqs4frqc.scscsdsd9.cc/index2.asp","不便之处:1,交管局:1,如下:1,带来:1,恢复:1,敬请:1,早上:1,特此通知:1,系统维护:2,认证:4,谅解:1","1"
"00fe20d88650891f5a2ef2f3a7a5e7d3","http://ymx.serrano-hills.com/h5/#/pages/user/login","取消:2,密码:2,手机号:1,没有:1,注册:1,登录:3,确定:1,立即:1,记住:1,请输入:1,账号:2","1"
"0130c22850cca2c99bde84e644dd47e2","http://bkxt001.fun/platform/passport/login.html","不能:1,为空:1,刷新:2,发送到:1,图片:2,客服:2,密码:6,忘记:2,手机号:2,收到:1,新密码:2,点击:2,用户名:1,登录:2,短信:3,确认:1,管理员:1,系统:2,绑定:1,请输入:2,账户:2,选择:1,通过:1,重置:3,错误:1,验证码:8","1"
